TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,714,0,0,0,3,2,7,345,2,2,2,4,6,45825.00,52987.00,17,0,0,3,3,0.86,0.52,0,0,0,0.29,0,0,0.67
0,750,0,0,0,4,4,5,145,3,1,2,2,8,15396.00,26018.00,16,4,1,2,3,0.59,0.41,0,2,7,0.36,2,2,0.25
0,777,0,0,0,3,1,3,222,22,0,0,1,10,3127.00,12624.00,24,1,0,1,2,0.25,0.62,2,0,3,0.34,0,1,0.10
1,805,0,0,0,1,5,1,354,7,0,2,10,19,16903.00,47593.00,21,1,1,4,5,0.36,0.65,0,1,1,0.73,1,1,0.53
0,911,8,8,0,0,8,2,111,24,0,0,1,2,3402.00,8948.00,5,0,0,0,0,0.38,0.40,0,0,0,0.40,4,0,0.50
0,1078,0,0,0,1,1,3,56,40,0,0,0,3,716.00,2532.00,5,0,0,0,0,0.28,0.20,3,1,4,0.60,1,3,0.00
1,1175,8,5,0,6,1,10,16,4,0,2,4,3,18339.00,20093.00,1,1,0,2,3,0.91,0.25,1,1,1,0.75,7,1,1.33
0,1181,0,0,0,0,11,0,398,10,0,2,2,10,18103.00,22163.00,18,0,0,6,6,0.82,0.25,3,0,2,0.50,0,2,0.20
1,1373,3,1,0,9,0,8,130,52,0,0,0,1,2327.00,1860.00,3,4,1,1,1,1.25,0.00,0,1,4,0.14,3,1,0.00
0,1419,0,0,0,5,1,5,185,10,0,1,1,14,43929.00,65197.00,29,0,0,5,6,0.67,0.69,2,0,1,0.48,0,1,0.07
0,1437,0,0,0,3,1,0,168,2,1,1,2,8,24269.00,43783.00,16,0,0,1,5,0.55,0.50,0,0,0,0.44,0,0,0.25
0,1482,0,0,0,3,1,0,284,2,1,3,5,6,16173.00,32884.00,18,1,0,3,3,0.49,0.33,0,1,1,0.25,1,1,0.83
0,1498,5,3,0,4,4,2,90,3,1,4,4,5,38892.00,40752.00,8,0,0,5,5,0.95,0.56,0,0,0,0.56,1,0,0.80
1,1514,0,0,0,1,3,1,148,10,0,2,6,14,55642.00,77854.00,24,0,0,7,9,0.71,0.59,3,0,0,0.52,0,0,0.43
0,1547,0,0,0,0,8,0,32,32,0,0,0,2,2600.00,2600.00,1,1,1,1,1,1.00,0.50,0,1,1,1.00,1,1,0.00
0,1549,0,0,0,0,,0,218,27,0,0,0,3,4109.00,6000.00,9,0,0,1,1,0.68,0.78,0,0,0,0.33,0,0,0.00
0,1559,0,0,0,2,1,1,133,19,0,0,2,4,40549.00,48039.00,10,0,0,3,3,0.84,0.50,0,0,0,0.40,0,0,0.50
0,1827,2,0,0,5,1,0,128,15,0,0,1,2,6014.00,9552.00,12,0,0,1,2,0.63,0.08,2,1,3,0.17,3,2,0.50
0,1864,0,0,0,5,1,3,204,18,0,0,5,15,78544.00,117116.00,21,0,0,7,9,0.67,0.50,3,0,1,0.68,0,0,0.33
0,1890,3,2,0,5,1,6,135,3,1,2,4,4,5756.00,9199.00,8,0,0,1,1,0.63,0.60,0,0,1,0.40,0,0,1.00
1,1911,3,2,0,5,1,3,124,2,1,4,6,7,14577.00,21638.00,12,0,0,4,4,0.67,0.53,2,0,2,0.47,1,1,0.86
0,1927,0,0,0,6,1,8,62,6,0,2,2,8,9065.00,13979.00,13,0,0,2,2,0.65,0.77,0,0,0,0.62,0,0,0.25
0,1954,3,2,0,21,0,24,181,3,1,2,5,8,7623.00,14864.00,17,0,0,2,3,0.51,0.50,2,0,1,0.40,2,1,0.63
0,2033,0,0,0,3,5,1,84,2,1,3,5,12,23624.00,45792.00,19,0,0,4,5,0.52,0.75,0,0,0,0.60,0,0,0.42
0,2078,3,0,0,5,1,7,116,14,0,0,1,4,187.00,1113.00,9,3,3,0,0,0.17,0.50,0,3,7,0.33,3,3,0.25
0,2102,0,0,0,0,15,0,138,27,0,0,0,8,15.00,7770.00,16,3,1,0,0,0.00,0.27,3,5,8,0.36,5,8,0.00
0,2137,2,2,0,5,1,5,83,1,1,1,2,2,986.00,1256.00,3,1,0,1,2,0.79,0.33,0,0,1,0.33,2,0,1.00
0,2147,0,0,0,0,,0,51,8,0,2,2,11,22245.00,43039.00,15,0,0,6,7,0.52,0.88,0,0,0,0.69,0,0,0.18
0,2156,0,0,0,3,1,1,314,14,0,0,3,3,7582.00,17098.00,7,1,0,0,0,0.44,0.30,2,0,1,0.30,0,1,1.00
0,2176,0,0,0,2,2,4,20,5,0,2,3,2,863.00,1000.00,2,0,0,2,2,0.86,0.67,0,0,0,0.67,0,0,1.50
0,2201,1,1,0,1,2,3,82,6,0,1,1,3,2979.00,2979.00,3,1,1,1,1,1.00,0.50,0,1,2,0.75,2,1,0.33
0,2304,0,0,0,1,6,3,414,4,0,1,2,13,28100.00,59928.00,22,0,0,7,8,0.47,0.65,2,0,4,0.57,0,1,0.15
0,2405,0,0,0,4,1,1,375,6,0,2,7,11,30102.00,32257.00,12,0,0,8,8,0.93,0.85,0,0,0,0.85,0,0,0.64
0,2456,0,0,0,2,1,3,330,4,0,1,4,21,60393.00,100435.00,42,0,0,7,13,0.60,0.56,2,0,1,0.44,0,1,0.19
0,2485,0,0,0,2,1,7,129,6,0,3,7,11,32933.00,44135.00,22,0,0,4,6,0.75,0.83,0,0,1,0.48,0,0,0.64
0,2491,0,0,0,0,8,0,13,13,0,0,1,1,913.00,924.00,1,0,0,1,1,0.99,1.00,0,0,0,1.00,0,0,1.00
0,2534,0,0,0,2,1,1,103,4,0,5,6,6,27102.00,32985.00,8,0,0,4,4,0.82,0.88,0,0,0,0.75,0,0,1.00
1,2596,1,1,0,2,0,3,286,6,0,2,6,6,26853.00,33562.00,5,6,2,3,4,0.80,0.15,1,5,6,0.46,5,5,1.00
0,2615,0,0,0,2,0,1,290,3,1,1,2,5,5307.00,25626.00,5,0,0,1,1,0.21,0.67,0,0,0,0.83,0,0,0.40
0,2647,0,0,0,0,7,1,201,13,0,0,6,7,44456.00,49825.00,16,0,0,5,5,0.89,0.69,0,0,0,0.44,0,0,0.86
0,2678,0,0,0,4,1,0,188,17,0,0,3,14,30021.00,46475.00,19,1,1,6,8,0.65,0.63,0,1,1,0.58,1,1,0.21
0,2687,0,0,0,4,1,6,100,4,0,2,4,5,2524.00,2997.00,9,0,0,2,3,0.84,0.60,0,0,0,0.50,0,0,0.80
1,2767,0,0,0,0,15,0,175,25,0,0,0,10,36424.00,61036.00,17,1,0,4,5,0.60,0.61,1,0,1,0.56,0,0,0.00
0,2782,0,0,0,0,8,2,98,11,0,1,2,7,3814.00,6431.00,13,1,0,3,5,0.59,0.64,0,0,1,0.50,0,0,0.29
0,2799,1,1,0,0,17,0,85,2,1,1,1,3,587.00,1102.00,3,3,1,1,1,0.53,0.13,0,2,5,0.38,2,2,0.33
0,2828,1,0,0,1,1,0,169,1,1,1,2,10,14690.00,46727.00,14,0,0,0,1,0.31,0.50,3,0,3,0.63,0,2,0.20
1,2875,2,2,0,5,0,6,177,8,0,1,7,9,56432.00,75953.00,19,1,1,4,7,0.74,0.38,3,1,2,0.43,2,2,0.78
1,2884,8,7,0,0,23,1,129,16,0,0,2,3,8526.00,9602.00,1,2,2,3,3,0.89,0.00,0,2,2,0.75,9,2,0.67
0,2885,0,0,0,2,3,0,205,4,0,3,3,13,57088.00,69893.00,21,0,0,7,11,0.82,0.68,0,0,1,0.59,0,0,0.23
0,2986,4,4,0,5,1,12,148,6,0,2,3,7,7669.00,10219.00,18,1,0,3,3,0.75,0.45,2,2,10,0.32,2,3,0.43
0,3053,0,0,0,2,2,1,201,9,0,1,2,7,23879.00,46223.00,15,0,0,2,3,0.52,0.63,0,0,0,0.44,0,0,0.29
1,3060,0,0,0,1,6,2,129,8,0,1,3,14,15335.00,26706.00,23,0,0,4,7,0.57,0.48,3,0,0,0.56,0,0,0.21
0,3097,0,0,0,2,1,0,95,3,1,4,5,13,36007.00,55804.00,15,1,0,5,7,0.65,0.61,0,1,1,0.57,1,1,0.38
1,3132,6,3,0,1,0,0,59,8,0,2,3,3,706.00,716.00,4,2,1,2,2,0.99,0.50,0,1,2,0.50,4,1,1.00
1,3190,2,2,0,8,1,9,96,3,1,1,1,1,698.00,630.00,3,2,2,1,1,1.11,0.40,0,2,2,0.20,3,2,1.00
0,3246,0,0,0,4,1,4,113,2,1,8,11,16,31457.00,48222.00,26,0,0,3,5,0.65,0.59,0,0,1,0.55,0,0,0.69
0,3390,5,4,0,2,1,4,117,7,0,2,5,4,15401.00,16445.00,17,1,0,1,2,0.94,0.30,1,2,5,0.20,6,2,1.25
0,3438,0,0,0,3,1,0,52,3,1,3,6,9,6576.00,7095.00,8,0,0,6,6,0.93,0.89,0,0,0,1.00,0,0,0.67
0,3637,0,0,0,0,15,1,304,4,0,1,4,9,25577.00,37193.00,19,0,0,4,5,0.69,0.55,0,0,0,0.45,0,0,0.44
0,3638,0,0,0,0,10,2,283,2,2,8,9,18,26800.00,69001.00,26,0,0,1,1,0.39,0.66,3,0,0,0.62,0,0,0.50
0,3700,7,5,0,3,1,3,27,26,0,0,0,1,6911.00,9670.00,1,1,1,0,1,0.71,0.00,2,1,2,0.50,4,2,0.00
0,3766,0,0,0,5,0,9,91,4,0,5,7,4,3490.00,3917.00,20,0,0,4,4,0.89,0.57,0,0,0,0.19,0,0,1.75
0,3813,0,0,0,0,,0,232,8,0,1,3,7,1891.00,4704.00,6,0,0,1,3,0.40,0.71,0,0,0,1.00,0,0,0.43
0,3881,5,0,0,2,1,1,121,8,0,1,1,5,17617.00,41278.00,8,0,0,2,3,0.43,0.40,0,0,4,0.50,0,0,0.20
0,3891,7,5,0,3,1,1,129,33,0,0,0,2,1699.00,1714.00,6,7,3,2,2,0.99,0.08,0,7,12,0.15,10,7,0.00
0,3944,0,0,0,1,4,7,334,4,0,1,4,5,15067.00,18627.00,8,4,3,3,3,0.81,0.20,3,4,6,0.33,4,5,0.80
0,3961,4,2,0,2,0,2,339,1,2,4,6,6,16719.00,20837.00,20,2,1,2,3,0.80,0.38,0,1,4,0.25,1,1,1.00
1,4032,2,2,0,2,0,4,248,7,0,3,7,14,30265.00,44493.00,28,0,0,7,9,0.68,0.63,2,0,1,0.47,2,1,0.50
0,4049,0,0,0,5,1,0,44,2,1,2,15,17,45865.00,85747.00,19,0,0,5,7,0.53,0.78,0,0,0,0.74,0,0,0.88
0,4071,6,0,0,2,0,1,210,30,0,0,0,7,4469.00,7879.00,11,0,0,2,3,0.57,0.75,0,0,0,0.58,0,0,0.00
0,4114,3,2,0,6,1,2,98,15,0,0,1,6,17344.00,42813.00,9,1,0,3,3,0.41,0.64,2,0,1,0.55,2,1,0.17
0,4207,0,0,0,3,1,4,22,3,1,2,3,3,11668.00,19507.00,2,1,0,1,2,0.60,0.50,0,0,0,0.75,0,0,1.00
0,4227,0,0,0,0,8,2,51,8,0,2,3,4,1180.00,2049.00,9,0,0,1,3,0.58,0.70,0,0,0,0.40,0,0,0.75
0,4284,0,0,0,2,0,1,115,2,2,3,11,8,24697.00,27934.00,24,0,0,4,5,0.88,0.59,2,0,1,0.28,0,1,1.38
0,4322,0,0,0,0,,0,225,4,0,2,3,14,33070.00,58204.00,22,0,0,4,4,0.57,0.83,0,0,0,0.61,0,0,0.21
0,4323,0,0,0,0,,0,372,10,0,1,2,17,69212.00,115197.00,26,0,0,4,7,0.60,0.67,0,0,0,0.63,0,0,0.12
1,4408,0,0,0,8,1,10,124,4,0,6,9,12,44329.00,47349.00,22,0,0,8,9,0.94,0.71,1,0,2,0.50,0,0,0.75
0,4426,9,5,0,0,11,0,98,53,0,0,0,1,0.00,0.00,3,2,0,0,0,0.00,0.20,0,0,2,0.20,4,0,0.00
0,4453,0,0,0,6,0,8,254,7,0,1,5,24,32214.00,109646.00,30,0,0,3,4,0.29,0.78,0,0,0,0.75,0,0,0.21
0,4458,0,0,0,2,3,2,230,3,1,4,5,19,28279.00,68717.00,27,0,0,2,7,0.41,0.63,2,0,1,0.63,0,1,0.26
1,4470,4,4,0,13,1,27,42,2,1,2,3,3,5066.00,6354.00,3,1,0,2,2,0.80,0.43,0,0,1,0.43,4,0,1.00
0,4506,0,0,0,3,1,1,104,3,1,3,10,9,19768.00,25494.00,13,0,0,4,8,0.78,0.75,0,0,1,0.56,0,0,1.11
0,4573,0,0,0,2,1,4,270,3,1,2,4,7,20200.00,27703.00,13,0,0,2,3,0.73,0.71,0,1,5,0.50,1,1,0.57
0,4599,0,0,0,0,,0,277,9,0,1,1,11,22916.00,41505.00,14,0,0,2,5,0.55,0.73,0,0,0,0.73,0,0,0.09
0,4693,2,1,0,7,2,1,226,5,0,1,4,6,11493.00,11987.00,13,1,1,3,4,0.96,0.27,3,1,2,0.40,3,2,0.67
0,4720,1,1,0,1,3,1,90,45,0,0,0,0,0.00,0.00,7,0,0,,,0.00,0.14,0,0,1,0.00,1,0,0.00
1,4734,1,0,0,4,1,2,93,20,0,0,2,19,40795.00,67014.00,24,2,2,7,7,0.61,0.52,3,4,6,0.66,4,5,0.11
0,4806,0,0,0,7,1,2,152,2,1,2,4,4,7049.00,7911.00,9,1,1,2,3,0.89,0.31,0,1,3,0.31,1,1,1.00
1,4860,0,0,0,3,0,2,446,9,0,2,9,26,65165.00,126906.00,33,0,0,5,7,0.51,0.78,3,0,0,0.70,0,0,0.35
1,5014,0,0,0,1,2,1,337,11,0,2,4,17,45492.00,44666.00,14,0,0,9,12,1.02,0.31,3,0,1,0.59,0,0,0.24
0,5056,3,1,0,5,1,4,246,2,1,1,1,2,149.00,149.00,3,2,0,1,1,1.00,0.14,2,0,4,0.29,1,1,0.50
0,5222,0,0,0,0,11,1,185,11,0,1,4,11,16167.00,69969.00,20,0,0,0,2,0.23,0.75,0,0,1,0.55,0,0,0.36
1,5261,1,1,0,1,1,0,134,3,1,3,7,16,35996.00,42432.00,18,0,0,9,11,0.85,0.38,3,0,0,0.62,0,0,0.44
0,5311,0,0,0,5,1,2,156,10,0,2,8,20,10641.00,55166.00,28,0,0,1,1,0.19,0.89,0,0,2,0.71,0,0,0.40
1,5430,5,3,0,4,1,11,89,3,1,3,6,7,13106.00,14161.00,14,0,0,4,5,0.93,0.38,2,1,2,0.44,6,2,0.86
0,5450,0,0,0,1,0,0,109,12,0,1,6,11,25817.00,51304.00,20,0,0,3,4,0.50,0.59,0,0,0,0.50,0,0,0.55
0,5483,0,0,0,1,1,2,280,17,0,0,2,18,68634.00,95766.00,33,0,0,6,8,0.72,0.73,0,0,1,0.55,0,0,0.11
0,5495,1,0,0,0,,0,251,5,0,2,3,6,50305.00,73498.00,11,4,3,3,4,0.68,0.53,0,3,7,0.40,3,3,0.50
1,5564,0,0,0,4,2,3,118,11,0,1,1,2,1087.00,1091.00,4,1,1,2,2,1.00,0.50,0,1,1,0.33,1,1,0.50
0,5621,0,0,0,2,0,2,231,4,0,1,1,1,851.00,890.00,6,0,0,1,1,0.96,0.29,0,0,2,0.14,0,0,1.00
0,5639,0,0,0,4,0,1,148,5,0,3,4,13,15456.00,18561.00,17,6,5,3,3,0.83,0.39,3,7,10,0.57,7,8,0.31
1,5641,0,0,0,10,1,3,87,3,1,2,4,11,16223.00,19849.00,13,0,0,4,7,0.82,0.60,2,0,1,0.73,0,1,0.36
0,5682,5,5,0,2,1,5,114,5,0,2,2,3,7852.00,9221.00,4,0,0,2,2,0.85,0.75,0,0,0,0.75,3,0,0.67
0,5723,0,0,0,1,1,2,162,5,0,1,3,6,23139.00,43352.00,9,0,0,3,3,0.53,0.64,0,0,1,0.55,0,0,0.50
0,5739,2,0,0,4,2,3,151,5,0,3,4,13,42981.00,52684.00,24,1,1,8,9,0.82,0.37,3,1,6,0.48,1,1,0.31
0,5749,0,0,0,4,1,11,258,5,0,4,7,6,14164.00,15874.00,23,0,0,4,4,0.89,0.50,0,0,1,0.25,0,0,1.17
0,5808,3,3,0,0,11,1,295,10,0,1,1,3,903.00,1004.00,5,1,1,1,1,0.90,0.33,2,1,2,0.50,3,2,0.33
1,5881,3,1,0,4,1,3,234,30,0,0,0,5,11288.00,21709.00,6,3,2,3,4,0.52,0.18,2,4,5,0.45,5,5,0.00
0,5893,2,0,0,2,2,5,165,10,0,1,5,10,4664.00,15497.00,17,0,0,0,2,0.30,0.57,3,0,3,0.48,1,0,0.50
0,5924,0,0,0,1,0,3,116,7,0,1,3,5,18696.00,21509.00,8,0,0,2,2,0.87,0.40,0,1,4,0.50,1,1,0.60
0,5971,0,0,0,2,4,1,121,13,0,0,4,7,26115.00,39464.00,19,2,0,3,4,0.66,0.38,3,0,7,0.33,0,0,0.57
0,5981,1,0,0,0,,0,228,77,0,0,0,1,509.00,2300.00,5,0,0,0,0,0.22,0.17,0,0,0,0.17,0,0,0.00
0,6088,3,3,0,6,1,2,63,8,0,2,4,6,20248.00,27636.00,11,0,0,3,3,0.73,0.67,0,0,0,0.50,1,0,0.67
0,6160,1,0,0,0,13,1,122,16,0,0,2,7,6929.00,24076.00,10,0,0,3,4,0.29,0.83,0,0,0,0.58,0,0,0.29
0,6204,1,0,0,0,9,1,193,56,0,0,0,1,0.00,0.00,1,1,1,,,0.00,0.00,1,1,2,0.20,1,1,0.00
0,6227,0,0,0,3,2,1,352,2,1,5,6,16,21883.00,56866.00,24,0,0,3,4,0.38,0.59,0,0,0,0.59,0,0,0.38
0,6234,0,0,0,3,1,1,237,4,0,2,3,7,30625.00,36417.00,5,1,1,5,6,0.84,0.44,1,1,1,0.78,1,1,0.43
0,6275,1,1,0,1,1,0,200,12,0,1,4,6,8821.00,9987.00,11,0,0,4,4,0.88,0.50,3,0,3,0.50,1,0,0.67
1,6359,5,5,0,0,8,0,118,4,0,6,7,8,17200.00,23793.00,11,3,1,5,6,0.72,0.69,0,2,4,0.50,4,2,0.88
0,6376,0,0,0,4,2,3,167,5,0,2,8,10,53343.00,59851.00,22,0,0,8,8,0.89,0.38,3,0,0,0.38,0,0,0.80
0,6380,0,0,0,1,1,2,124,2,1,2,4,10,8388.00,14898.00,23,3,1,3,4,0.56,0.34,1,1,7,0.34,1,1,0.40
0,6543,1,0,0,0,13,3,234,12,0,1,2,10,24517.00,41285.00,28,0,0,5,6,0.59,0.72,0,1,2,0.34,2,1,0.20
1,6574,0,0,0,1,1,0,74,35,0,0,0,4,4963.00,12283.00,4,3,2,2,2,0.40,0.14,2,4,7,0.57,4,5,0.00
0,6677,2,2,0,2,0,15,132,8,0,3,7,16,42597.00,72970.00,22,0,0,6,8,0.58,0.61,0,0,0,0.57,1,0,0.44
0,6754,0,0,0,6,1,9,94,15,0,0,5,6,418.00,21018.00,14,0,0,0,0,0.02,0.86,0,0,0,0.43,0,0,0.83
0,6783,1,1,0,0,14,1,6,6,0,1,1,1,1612.00,5000.00,1,0,0,0,0,0.32,1.00,0,0,0,1.00,0,0,1.00
0,6795,1,1,0,3,4,0,199,4,0,3,8,22,35116.00,48813.00,37,0,0,6,8,0.72,0.56,3,0,1,0.54,1,1,0.36
0,6819,0,0,0,1,2,0,119,8,0,5,8,18,43932.00,64819.00,30,0,0,8,10,0.68,0.67,0,0,1,0.55,0,0,0.44
0,6840,0,0,0,0,18,0,20,8,0,1,6,6,7062.00,11606.00,6,0,0,3,3,0.61,1.00,0,0,0,1.00,0,0,1.00
0,6843,0,0,0,2,1,2,256,5,0,2,5,18,46211.00,62197.00,31,0,0,7,8,0.74,0.67,0,0,2,0.55,0,0,0.28
0,6872,0,0,0,1,2,3,205,1,3,7,13,15,18956.00,30727.00,17,0,0,7,8,0.62,0.61,0,0,1,0.65,0,0,0.87
0,6902,0,0,0,0,7,1,147,7,0,3,12,11,8754.00,21073.00,19,1,0,1,1,0.42,0.78,0,0,1,0.48,0,0,1.09
0,6955,1,1,0,15,1,6,322,11,0,1,2,8,8059.00,33774.00,20,0,0,1,2,0.24,0.71,0,1,1,0.38,2,1,0.25
0,7006,0,0,0,0,,0,221,20,0,0,1,3,7462.00,8290.00,3,0,0,2,2,0.90,1.00,0,0,0,1.00,0,0,0.33
1,7140,3,2,0,0,11,0,90,9,0,1,3,3,4722.00,5462.00,8,2,1,2,2,0.86,0.17,2,2,4,0.25,3,3,1.00
0,7142,2,2,0,9,1,7,148,2,1,2,3,13,35712.00,43749.00,17,0,0,5,5,0.82,0.79,0,0,0,0.68,2,0,0.23
0,7155,1,0,0,0,22,1,152,4,0,1,2,1,24.00,49.00,8,1,1,0,0,0.49,0.60,0,1,6,0.10,1,1,2.00
0,7204,1,1,0,4,0,3,214,20,0,0,1,4,18547.00,21431.00,8,4,1,3,3,0.87,0.25,1,2,6,0.33,2,2,0.25
0,7214,0,0,0,0,18,1,241,17,0,0,2,5,2887.00,4011.00,9,0,0,3,3,0.72,0.33,2,1,3,0.56,1,2,0.40
1,7226,1,1,0,2,1,4,206,21,0,0,1,1,0.00,0.00,7,1,0,,,0.00,0.25,0,0,3,0.13,1,0,1.00
0,7232,0,0,0,2,1,7,158,4,0,7,7,13,21588.00,52007.00,23,0,0,2,2,0.42,0.62,0,0,0,0.50,0,0,0.54
1,7251,1,1,0,4,1,5,152,11,0,1,1,3,9584.00,10778.00,2,2,0,2,2,0.89,0.25,2,1,2,0.75,1,2,0.33
0,7260,0,0,0,4,0,2,303,35,0,0,0,4,0.00,5334.00,8,1,1,,,0.00,0.55,0,1,1,0.36,1,1,0.00
0,7278,0,0,0,1,0,0,246,4,0,2,3,13,9013.00,18852.00,20,0,0,4,4,0.48,0.54,1,1,2,0.54,1,1,0.23
0,7331,0,0,0,3,0,6,142,13,0,0,1,1,0.00,0.00,2,1,0,0,0,0.00,0.67,0,0,1,0.33,0,0,1.00
0,7342,0,0,0,0,,0,240,12,0,3,7,9,33724.00,55877.00,15,0,0,3,4,0.60,0.78,0,0,1,0.50,0,0,0.78
0,7410,0,0,0,5,1,8,218,4,0,2,4,9,22196.00,22874.00,18,0,0,7,7,0.97,0.74,0,0,0,0.47,0,0,0.44
1,7427,0,0,0,1,6,4,102,25,0,0,0,14,34506.00,37617.00,17,3,2,9,11,0.92,0.43,3,4,4,0.61,4,4,0.00
0,7583,2,0,0,4,1,3,180,12,0,1,2,12,33783.00,40285.00,16,0,0,6,7,0.84,0.74,0,0,1,0.63,0,0,0.17
0,7597,0,0,0,1,1,1,108,2,1,2,3,7,8342.00,42775.00,15,0,0,1,1,0.20,0.71,0,0,0,0.41,0,0,0.43
1,7664,0,0,0,3,0,1,90,16,0,0,2,3,1457.00,1501.00,3,2,0,1,3,0.97,0.43,0,0,2,0.43,0,0,0.67
1,7669,0,0,0,5,1,3,216,8,0,2,2,19,72107.00,82531.00,30,0,0,11,12,0.87,0.73,0,0,0,0.63,0,0,0.11
0,7681,0,0,0,0,9,0,143,5,0,2,4,9,15720.00,34135.00,24,0,0,3,3,0.46,0.50,1,0,0,0.35,0,0,0.44
0,7709,0,0,0,1,5,0,190,5,0,2,2,9,36227.00,63107.00,15,0,0,2,3,0.57,0.60,0,0,0,0.60,0,0,0.22
0,7742,0,0,0,1,0,1,223,18,0,0,1,9,30725.00,38640.00,14,0,0,5,6,0.80,0.71,0,0,0,0.64,0,0,0.11
0,7841,0,0,0,4,1,0,119,2,1,6,10,25,2280.00,156206.00,31,0,0,0,0,0.01,0.61,0,0,0,0.61,0,0,0.40
0,7961,1,1,0,0,24,0,213,9,0,1,3,7,12113.00,19557.00,18,0,0,1,1,0.62,0.53,0,0,0,0.37,0,0,0.43
0,7975,1,1,0,6,1,13,291,12,0,1,4,3,35714.00,56734.00,9,0,0,0,3,0.63,0.60,0,0,1,0.30,1,0,1.33
0,7998,5,1,0,0,22,1,130,22,0,0,1,2,0.00,0.00,5,3,1,0,0,0.00,0.25,0,1,4,0.25,1,1,0.50
0,8122,0,0,0,0,7,1,13,9,0,1,2,2,575.00,470.00,2,0,0,1,1,1.22,1.00,0,0,0,1.00,0,0,1.00
0,8168,0,0,0,1,2,0,471,12,0,1,1,11,35520.00,42258.00,14,0,0,6,6,0.84,0.71,0,0,0,0.65,0,0,0.09
1,8250,0,0,0,1,3,6,165,27,0,0,0,8,22310.00,27277.00,2,10,8,4,5,0.82,0.07,2,9,11,0.57,9,10,0.00
1,8256,1,1,0,2,1,1,138,6,0,1,5,10,16770.00,17258.00,18,0,0,7,8,0.97,0.39,3,0,2,0.56,1,1,0.50
